SGV, Raw, SavitzkyGolay, LeastSquares, Flat, Hamming
304.0,292.592095571,294.601103157,158.170507174,292.017779305,297.944442509
314.0,296.250088881,296.883333612,158.048964992,299.900106743,297.586397517
325.0,314.322045561,315.080337637,157.92802558,307.467940517,300.487953343
340.0,339.909258631,339.099536529,157.80770501,317.549636658,313.334020118
350.0,357.266280227,356.253983027,157.688019136,330.473048399,332.456454487
354.0,360.094420335,360.622106766,157.56898359,342.480434756,348.697863917
348.0,353.90512294,352.380075263,157.450613783,348.777927204,355.444556631
336.0,338.053490333,339.592277782,157.33292491,348.256784312,352.07460327
331.0,329.686847702,329.858415336,157.21593194,343.239598963,342.612942046
328.0,328.0,328.346648252,157.099649625,337.273397373,333.951227071
330.0,330.186129787,329.221280522,156.984092497,332.124776888,329.956417897
332.0,329.394190012,329.446415115,156.869274865,329.80312816,329.422876247
331.0,330.029708382,331.190987265,156.75521082,330.436752298,329.819599207
334.0,335.888919736,334.873821343,156.641914233,332.156697456,331.209037078
332.0,337.219805274,338.326807516,156.529398753,333.482888381,333.945511447
329.0,336.113160784,332.398056145,156.417677811,332.513810792,335.565844908
307.0,321.744755892,330.808792996,156.306764617,331.658176165,333.231390977
289.0,326.633247673,314.7756807,156.196672162,322.20085306,326.812298663
239.0,277.550193659,283.053187701,156.087413218,304.217121102,313.741920996
201.0,239.605432733,241.448751418,155.979000336,280.670619331,285.703011617
187.0,213.707206623,210.129832339,155.87144585,252.903104914,250.490257113
165.0,179.258372392,181.161056083,155.764761875,220.02547179,217.9935259
148.0,157.397820414,158.265460342,155.658960306,192.379205766,188.750792284
139.0,147.066464667,146.197869451,155.554052821,170.76505715,165.576019923
136.0,137.082753304,136.014770693,155.450050882,152.692578004,150.150488927
129.0,126.398745332,127.721003007,155.34696573,140.819364433,139.155338036
125.0,126.426296888,127.324092467,155.244808392,134.9072168,131.288011473
127.0,133.150924564,131.79606326,155.143589675,131.567180693,128.863733218
130.0,132.083863201,131.544107417,155.043320173,128.966014288,130.350912675
125.0,124.543062848,124.728746984,154.944010262,127.15923892,129.981340878
120.0,118.143624365,119.249487272,154.845670103,125.531636669,125.756452793
121.0,118.33433369,117.516296044,154.748309643,122.683608467,121.015850345
122.0,117.662242846,117.753105412,154.651938612,119.848945257,118.659799065
123.0,118.218176391,118.383110431,154.556566528,118.795386102,118.137246928
126.0,121.032895605,120.870993258,154.462202696,119.859262584,118.865015209
128.0,125.212931299,125.85558222,154.368856205,122.339747298,121.20065434
132.0,131.753674999,131.377908659,154.276535935,125.545140614,125.173551022
136.0,134.152924148,133.259977944,154.185250551,128.106855906,129.613102534
138.0,130.292416817,130.47542047,154.095008508,129.744499624,131.840507528
137.0,128.471596788,129.366913994,154.005818051,131.60826103,131.172033416
140.0,134.854865219,135.221118429,153.917687213,134.179621692,131.210528678
